NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
NY CITY CENTRAL PARK,2014-06-11,7.16,0.02,0,0,70,61
NY CITY CENTRAL PARK,2014-06-12,5.59,0.07,0,0,73,60
NY CITY CENTRAL PARK,2014-06-13,3.58,1.28,0,0,79,65
NY CITY CENTRAL PARK,2014-06-14,4.7,0,0,0,74,60
NY CITY CENTRAL PARK,2014-06-15,4.25,0,0,0,80,59
NY CITY CENTRAL PARK,2014-06-16,2.91,0,0,0,81,63
NY CITY CENTRAL PARK,2014-06-17,4.03,0,0,0,89,71
NY CITY CENTRAL PARK,2014-06-18,5.82,0,0,0,89,76
NY CITY CENTRAL PARK,2014-06-19,3.8,0.15,0,0,77,68
NY CITY CENTRAL PARK,2014-06-20,4.47,0,0,0,79,64
NY CITY CENTRAL PARK,2014-06-21,4.92,0,0,0,78,62
NY CITY CENTRAL PARK,2014-06-22,2.01,0,0,0,79,64
NY CITY CENTRAL PARK,2014-06-23,2.68,0,0,0,81,65
NY CITY CENTRAL PARK,2014-06-24,4.92,0,0,0,81,68
NY CITY CENTRAL PARK,2014-06-25,4.92,0.08,0,0,85,70
NY CITY CENTRAL PARK,2014-06-26,4.7,0.07,0,0,85,70
NY CITY CENTRAL PARK,2014-06-27,2.91,0,0,0,83,67
NY CITY CENTRAL PARK,2014-06-28,2.91,0,0,0,87,66
NY CITY CENTRAL PARK,2014-06-29,2.68,0,0,0,83,68
NY CITY CENTRAL PARK,2014-06-30,2.68,0,0,0,84,69
NY CITY CENTRAL PARK,2014-07-01,5.14,0,0,0,89,72
NY CITY CENTRAL PARK,2014-07-02,3.8,0.96,0,0,91,72
NY CITY CENTRAL PARK,2014-07-03,2.91,1.78,0,0,87,69
NY CITY CENTRAL PARK,2014-07-04,5.37,0.14,0,0,74,65
NY CITY CENTRAL PARK,2014-07-05,6.71,0,0,0,81,63
NY CITY CENTRAL PARK,2014-07-06,4.92,0,0,0,84,66
NY CITY CENTRAL PARK,2014-07-07,5.82,0.04,0,0,90,72
NY CITY CENTRAL PARK,2014-07-08,4.7,0.39,0,0,91,71
NY CITY CENTRAL PARK,2014-07-09,4.25,0.09,0,0,88,71
NY CITY CENTRAL PARK,2014-07-10,2.91,0,0,0,83,72
NY CITY CENTRAL PARK,2014-07-11,4.03,0,0,0,86,71
NY CITY CENTRAL PARK,2014-07-12,3.36,0,0,0,85,71
NY CITY CENTRAL PARK,2014-07-13,5.14,0.03,0,0,83,72
NY CITY CENTRAL PARK,2014-07-14,4.47,0.46,0,0,84,72
NY CITY CENTRAL PARK,2014-07-15,2.68,1.3,0,0,86,72
NY CITY CENTRAL PARK,2014-07-16,3.8,0,0,0,81,68
NY CITY CENTRAL PARK,2014-07-17,4.03,0,0,0,81,67
NY CITY CENTRAL PARK,2014-07-18,4.03,0,0,0,81,64
NY CITY CENTRAL PARK,2014-07-19,5.14,0,0,0,76,68
NY CITY CENTRAL PARK,2014-07-20,4.03,0,0,0,80,66
NY CITY CENTRAL PARK,2014-07-21,2.01,0,0,0,85,67
NY CITY CENTRAL PARK,2014-07-22,3.8,0,0,0,86,71
NY CITY CENTRAL PARK,2014-07-23,4.92,0.19,0,0,88,72
NY CITY CENTRAL PARK,2014-07-24,4.92,0,0,0,80,70
NY CITY CENTRAL PARK,2014-07-25,4.25,0,0,0,82,66
NY CITY CENTRAL PARK,2014-07-26,4.25,0,0,0,81,69
NY CITY CENTRAL PARK,2014-07-27,3.36,0.02,0,0,85,71
NY CITY CENTRAL PARK,2014-07-28,7.38,0.19,0,0,82,68
NY CITY CENTRAL PARK,2014-07-29,4.92,0,0,0,76,64
NY CITY CENTRAL PARK,2014-07-30,2.91,0,0,0,80,63
NY CITY CENTRAL PARK,2014-07-31,3.36,0,0,0,82,68
NY CITY CENTRAL PARK,2014-08-01,3.8,0,0,0,84,71
NY CITY CENTRAL PARK,2014-08-02,6.04,0.41,0,0,74,63
NY CITY CENTRAL PARK,2014-08-03,2.24,0.07,0,0,76,66
NY CITY CENTRAL PARK,2014-08-04,3.36,0,0,0,84,70
NY CITY CENTRAL PARK,2014-08-05,2.46,0,0,0,90,71
NY CITY CENTRAL PARK,2014-08-06,2.91,0,0,0,83,70
NY CITY CENTRAL PARK,2014-08-07,4.25,0,0,0,83,66
NY CITY CENTRAL PARK,2014-08-08,3.13,0,0,0,83,65
NY CITY CENTRAL PARK,2014-08-09,2.91,0,0,0,87,66
NY CITY CENTRAL PARK,2014-08-10,2.91,0,0,0,88,68
NY CITY CENTRAL PARK,2014-08-11,3.13,0,0,0,87,71
NY CITY CENTRAL PARK,2014-08-12,5.82,0.19,0,0,79,70
NY CITY CENTRAL PARK,2014-08-13,5.59,0.53,0,0,82,68
NY CITY CENTRAL PARK,2014-08-14,4.7,0,0,0,77,63
NY CITY CENTRAL PARK,2014-08-15,5.37,0,0,0,73,61
NY CITY CENTRAL PARK,2014-08-16,4.03,0,0,0,78,63
NY CITY CENTRAL PARK,2014-08-17,3.58,0.01,0,0,82,66
NY CITY CENTRAL PARK,2014-08-18,4.47,0,0,0,81,63
NY CITY CENTRAL PARK,2014-08-19,3.8,0,0,0,83,63
NY CITY CENTRAL PARK,2014-08-20,2.24,0,0,0,84,70
NY CITY CENTRAL PARK,2014-08-21,3.58,0.35,0,0,83,65
NY CITY CENTRAL PARK,2014-08-22,4.7,0.06,0,0,79,65
NY CITY CENTRAL PARK,2014-08-23,4.7,0.01,0,0,77,67
NY CITY CENTRAL PARK,2014-08-24,3.13,0,0,0,80,64
NY CITY CENTRAL PARK,2014-08-25,2.68,0,0,0,88,64
NY CITY CENTRAL PARK,2014-08-26,2.24,0,0,0,89,70
NY CITY CENTRAL PARK,2014-08-27,3.36,0,0,0,90,70
NY CITY CENTRAL PARK,2014-08-28,5.37,0,0,0,82,66
NY CITY CENTRAL PARK,2014-08-29,3.36,0,0,0,80,61
NY CITY CENTRAL PARK,2014-08-30,2.24,0,0,0,80,65
NY CITY CENTRAL PARK,2014-08-31,3.36,0.62,0,0,90,73
NY CITY CENTRAL PARK,2014-09-01,2.91,0,0,0,88,75
NY CITY CENTRAL PARK,2014-09-02,5.37,0,0,0,92,77
NY CITY CENTRAL PARK,2014-09-03,3.36,0,0,0,86,72
NY CITY CENTRAL PARK,2014-09-04,2.68,0,0,0,87,69
NY CITY CENTRAL PARK,2014-09-05,2.91,0,0,0,87,72
NY CITY CENTRAL PARK,2014-09-06,4.7,0.11,0,0,91,67
NY CITY CENTRAL PARK,2014-09-07,4.7,0,0,0,81,65
NY CITY CENTRAL PARK,2014-09-08,7.61,0,0,0,75,65
NY CITY CENTRAL PARK,2014-09-09,7.83,0,0,0,73,63
NY CITY CENTRAL PARK,2014-09-10,5.82,0,0,0,80,63
NY CITY CENTRAL PARK,2014-09-11,4.7,0,0,0,83,69
NY CITY CENTRAL PARK,2014-09-12,5.14,0,0,0,78,62
NY CITY CENTRAL PARK,2014-09-13,5.14,0.26,0,0,69,58
NY CITY CENTRAL PARK,2014-09-14,3.13,0,0,0,71,53
NY CITY CENTRAL PARK,2014-09-15,2.91,0,0,0,71,55
NY CITY CENTRAL PARK,2014-09-16,2.24,0.37,0,0,70,58
NY CITY CENTRAL PARK,2014-09-17,2.68,0,0,0,73,55
NY CITY CENTRAL PARK,2014-09-18,2.68,0,0,0,76,57
NY CITY CENTRAL PARK,2014-09-19,7.61,0,0,0,66,54
NY CITY CENTRAL PARK,2014-09-20,2.91,0,0,0,75,57
NY CITY CENTRAL PARK,2014-09-21,1.57,0.15,0,0,75,67
NY CITY CENTRAL PARK,2014-09-22,6.71,0,0,0,71,55
NY CITY CENTRAL PARK,2014-09-23,1.79,0,0,0,71,52
NY CITY CENTRAL PARK,2014-09-24,5.59,0,0,0,71,58
NY CITY CENTRAL PARK,2014-09-25,8.28,0.32,0,0,64,57
NY CITY CENTRAL PARK,2014-09-26,4.25,0,0,0,77,58
